species_code,sci_name,order,family
scbtan2,Heterospingus xanthopygius,Passeriformes,Thraupidae (Tanagers and Allies)
fabtan1,Pipraeidea melanonota,Passeriformes,Thraupidae (Tanagers and Allies)
eurcoo,Fulica atra,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
cubgra,Tiaris canorus,Passeriformes,Thraupidae (Tanagers and Allies)
eurcur,Numenius arquata,Charadriiformes,Scolopacidae (Sandpipers and Allies)
eurdot,Charadrius morinellus,Charadriiformes,Charadriidae (Plovers and Lapwings)
eurgol,Carduelis carduelis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
eurhob,Falco subbuteo,Falconiformes,Falconidae (Falcons and Caracaras)
venflo1,Diglossa venezuelensis,Passeriformes,Thraupidae (Tanagers and Allies)
rcbfin1,Atlapetes pileatus,Passeriformes,Passerellidae (New World Buntings and Sparrows)
eurwry,Jynx torquilla,Piciformes,Picidae (Woodpeckers)
evegro,Coccothraustes vespertinus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
spotow1,Pipilo maculatus [oregonus Group],Passeriformes,Passerellidae (New World Buntings and Sparrows)
zapspa1,Torreornis inexpectata,Passeriformes,Passerellidae (New World Buntings and Sparrows)
falcon,Falco sp.,Falconiformes,Falconidae (Falcons and Caracaras)
vinbun1,Emberiza vincenti,Passeriformes,Emberizidae (Old World Buntings)
fepowl,Glaucidium brasilianum,Strigiformes,Strigidae (Owls)
flaowl,Psiloscops flammeolus,Strigiformes,Strigidae (Owls)
flfshe,Ardenna carneipes,Procellariiformes,Procellariidae (Shearwaters and Petrels)
spceup1,Euphonia imitans,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
forter,Sterna forsteri,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
foxspa,Passerella iliaca,Passeriformes,Passerellidae (New World Buntings and Sparrows)
fragul,Leucophaeus pipixcan,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
fuwduc,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
gadwal,Mareca strepera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
glagul,Larus hyperboreus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
gnttow,Pipilo chlorurus,Passeriformes,Passerellidae (New World Buntings and Sparrows)
gnwtea,Anas crecca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
gocspa,Zonotrichia atricapilla,Passeriformes,Passerellidae (New World Buntings and Sparrows)
gofwoo,Melanerpes aurifrons,Piciformes,Picidae (Woodpeckers)
goleag,Aquila chrysaetos,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
gowwar,Vermivora chrysoptera,Passeriformes,Parulidae (New World Warblers)
grbher,Ardea herodias [herodias Group],Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
grecor,Phalacrocorax carbo,Suliformes,Phalacrocoracidae (Cormorants and Shags)
greela,Myiopagis viridicata,Passeriformes,Tyrannidae (Tyrant Flycatchers)
grekno,Calidris tenuirostris,Charadriiformes,Scolopacidae (Sandpipers and Allies)
zimmer1,Zimmerius sp.,Passeriformes,Tyrannidae (Tyrant Flycatchers)
greyel,Tringa melanoleuca,Charadriiformes,Scolopacidae (Sandpipers and Allies)
grgowl,Strix nebulosa,Strigiformes,Strigidae (Owls)
ochpew1,Contopus ochraceus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
tumtyr2,Tumbezia salvini,Passeriformes,Tyrannidae (Tyrant Flycatchers)
grnher,Butorides virescens,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
grnjay,Cyanocorax yncas,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
grnkin,Chloroceryle americana,Coraciiformes,Alcedinidae (Kingfishers)
grnpar,Psittacara holochlorus,Psittaciformes,Psittacidae (New World and African Parrots)
masfru1,Pipreola pulchra,Passeriformes,Cotingidae (Cotingas)
capuch1,Perissocephalus tricolor,Passeriformes,Cotingidae (Cotingas)
ficman1,Machaeropterus pyrocephalus,Passeriformes,Pipridae (Manakins)
grpchi,Tympanuchus cupido,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
grybun,Emberiza variabilis,Passeriformes,Emberizidae (Old World Buntings)
dusmyz1,Myzomela obscura,Passeriformes,Meliphagidae (Honeyeaters)
myzome1,Myzomela sp.,Passeriformes,Meliphagidae (Honeyeaters)
grykin,Tyrannus dominicensis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
guspet,Oceanodroma macrodactyla,Procellariiformes,Hydrobatidae (Storm-Petrels)
gycyel,Geothlypis poliocephala,Passeriformes,Parulidae (New World Warblers)
hawcoo,Fulica alai,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
hawcre,Loxops mana,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
hawcro,Corvus hawaiiensis,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
